                 spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy  |max-min|
2010-04-20  3.093699e-04  -6.660040e-03   0.005331   0.002109  0.004863   0.011991
2010-04-21  2.992775e-04  -6.454573e-03   0.005412   0.002261  0.004829   0.011867
2010-04-22  2.944825e-04  -6.251407e-03   0.005492   0.002411  0.004799   0.011743
2010-04-23  2.924138e-04  -6.050601e-03   0.005571   0.002561  0.004772   0.011622
2010-04-24  2.895922e-04  -5.852210e-03   0.005650   0.002712  0.004744   0.011502
2010-04-25  2.825499e-04  -5.656289e-03   0.005730   0.002865  0.004713   0.011386
2010-04-26  2.688674e-04  -5.462893e-03   0.005811   0.003019  0.004678   0.011274
2010-04-27  2.479348e-04  -5.272075e-03   0.005895   0.003176  0.004637   0.011167
2010-04-28  2.211083e-04  -5.083889e-03   0.005980   0.003335  0.004594   0.011064
2010-04-29  1.911925e-04  -4.898385e-03   0.006068   0.003498  0.004549   0.010966
2010-04-30  1.614991e-04  -4.715614e-03   0.006158   0.003664  0.004508   0.010874
2010-05-01  1.349009e-04  -4.535626e-03   0.006250   0.003832  0.004472   0.010786
2010-05-02  1.132288e-04  -4.358470e-03   0.006343   0.004002  0.004443   0.010702
2010-05-03  9.711300e-05  -4.184193e-03   0.006438   0.004173  0.004420   0.010622
2010-05-04  8.614654e-05  -4.012842e-03   0.006532   0.004345  0.004403   0.010545
2010-05-05  7.917840e-05  -3.844464e-03   0.006625   0.004517  0.004390   0.010470
2010-05-06  7.460610e-05  -3.679103e-03   0.006718   0.004688  0.004378   0.010397
2010-05-07  7.062995e-05  -3.516803e-03   0.006808   0.004857  0.004365   0.010324
2010-05-08  6.546649e-05  -3.357608e-03   0.006895   0.005024  0.004348   0.010252
2010-05-09  5.751898e-05  -3.201558e-03   0.006978   0.005188  0.004325   0.010180
2010-05-10  4.551949e-05  -3.048697e-03   0.007057   0.005348  0.004294   0.010106
2010-05-11  2.868790e-05  -2.899063e-03   0.007131   0.005504  0.004254   0.010030
2010-05-12  6.943829e-06  -2.752696e-03   0.007200   0.005655  0.004204   0.009952
2010-05-13 -1.887360e-05  -2.609635e-03   0.007263   0.005800  0.004145   0.009872
2010-05-14 -4.692007e-05  -2.469917e-03   0.007320   0.005941  0.004078   0.009790
2010-05-15 -7.455324e-05  -2.333578e-03   0.007372   0.006077  0.004007   0.009705
2010-05-16 -9.888415e-05  -2.200653e-03   0.007419   0.006208  0.003934   0.009620
2010-05-17 -1.175477e-04  -2.071179e-03   0.007462   0.006336  0.003864   0.009533
2010-05-18 -1.294321e-04  -1.945188e-03   0.007502   0.006461  0.003798   0.009447
2010-05-19 -1.350927e-04  -1.822713e-03   0.007540   0.006585  0.003737   0.009363
2010-05-20 -1.366867e-04  -1.703786e-03   0.007578   0.006709  0.003681   0.009282
2010-05-21 -1.374329e-04  -1.588438e-03   0.007617   0.006835  0.003627   0.009205
2010-05-22 -1.407541e-04  -1.476699e-03   0.007658   0.006963  0.003573   0.009135
2010-05-23 -1.493567e-04  -1.368599e-03   0.007702   0.007095  0.003519   0.009071
2010-05-24 -1.645155e-04  -1.264166e-03   0.007750   0.007231  0.003462   0.009014
2010-05-25 -1.857796e-04  -1.163427e-03   0.007803   0.007373  0.003404   0.008966
2010-05-26 -2.111831e-04  -1.066410e-03   0.007859   0.007518  0.003347   0.008926
2010-05-27 -2.378704e-04  -9.731393e-04   0.007920   0.007669  0.003293   0.008893
2010-05-28 -2.628971e-04  -8.836409e-04   0.007984   0.007822  0.003245   0.008867
2010-05-29 -2.839259e-04  -7.979388e-04   0.008050   0.007979  0.003204   0.008848
2010-05-30 -2.996265e-04  -7.160562e-04   0.008117   0.008137  0.003170   0.008853
2010-05-31 -3.097531e-04  -6.380157e-04   0.008184   0.008296  0.003142   0.008934
2010-06-01 -3.149931e-04  -5.638392e-04   0.008250   0.008453  0.003119   0.009017
2010-06-02 -3.167065e-04  -4.935475e-04   0.008313   0.008609  0.003097   0.009102
2010-06-03 -3.166352e-04  -4.271610e-04   0.008372   0.008761  0.003074   0.009188
2010-06-04 -3.166264e-04  -3.646989e-04   0.008426   0.008908  0.003047   0.009272
2010-06-05 -3.184026e-04  -3.061799e-04   0.008474   0.009049  0.003013   0.009368
2010-06-06 -3.233980e-04  -2.516219e-04   0.008515   0.009184  0.002970   0.009507
2010-06-07 -3.326416e-04  -2.010421e-04   0.008548   0.009312  0.002915   0.009644
2010-06-08 -3.466216e-04  -1.544568e-04   0.008573   0.009431  0.002849   0.009778
2010-06-09 -3.650871e-04  -1.118816e-04   0.008590   0.009542  0.002770   0.009908
2010-06-10 -3.868352e-04  -7.333145e-05   0.008597   0.009646  0.002680   0.010032
2010-06-11 -4.096479e-04  -3.882047e-05   0.008597   0.009741  0.002581   0.010150
2010-06-12 -4.305751e-04  -8.362068e-06   0.008589   0.009829  0.002478   0.010260
2010-06-13 -4.466369e-04   1.803111e-05   0.008575   0.009911  0.002374   0.010358
2010-06-14 -4.557736e-04   4.034716e-05   0.008556   0.009989  0.002274   0.010445
2010-06-15 -4.576538e-04   5.857493e-05   0.008535   0.010065  0.002180   0.010522
2010-06-16 -4.539315e-04   7.270405e-05   0.008512   0.010140  0.002091   0.010594
2010-06-17 -4.477801e-04   8.272490e-05   0.008491   0.010217  0.002008   0.010664
2010-06-18 -4.428866e-04   8.862868e-05   0.008473   0.010296  0.001928   0.010739
2010-06-19 -4.423389e-04   9.040740e-05   0.008460   0.010381  0.001849   0.010823
2010-06-20 -4.478210e-04   8.805389e-05   0.008451   0.010470  0.001771   0.010918
2010-06-21 -4.593224e-04   8.156184e-05   0.008448   0.010566  0.001693   0.011025
2010-06-22 -4.753303e-04   7.092585e-05   0.008450   0.010667  0.001617   0.011142
2010-06-23 -4.933498e-04   5.614144e-05   0.008457   0.010773  0.001546   0.011266
2010-06-24 -5.105714e-04   3.720509e-05   0.008468   0.010883  0.001481   0.011393
2010-06-25 -5.245134e-04   1.411430e-05   0.008481   0.010995  0.001423   0.011520
2010-06-26 -5.334893e-04  -1.313234e-05   0.008495   0.011109  0.001372   0.011642
2010-06-27 -5.368134e-04  -4.453514e-05   0.008508   0.011222  0.001328   0.011759
2010-06-28 -5.347638e-04  -8.009319e-05   0.008519   0.011333  0.001289   0.011867
2010-06-29 -5.283917e-04  -1.198043e-04   0.008526   0.011439  0.001251   0.011968
2010-06-30 -5.192713e-04  -1.636650e-04   0.008527   0.011540  0.001213   0.012059
2010-07-01 -5.092338e-04  -2.116702e-04   0.008521   0.011634  0.001170   0.012143
2010-07-02 -5.001030e-04  -2.638135e-04   0.008506   0.011719  0.001119   0.012219
2010-07-03 -4.934599e-04  -3.200866e-04   0.008482   0.011795  0.001059   0.012288
2010-07-04 -4.904711e-04  -3.804795e-04   0.008447   0.011860  0.000985   0.012350
